Order ID,Customer ID,Item Name,Category,Quantity,Price,Order Time,Delivery Time (min),Customer Rating,City,Restaurant,Delivery Partner
ORD1000,CUST826,Fries,Fast Food,5,53.04,2025-04-07 00:36:05,59,4.8,Sharjah,Eat & Drink,NoonFood
ORD1001,CUST345,Fries,Fast Food,4,28.84,2025-05-24 16:17:13,36,2.7,Abu Dhabi,Burger Hut,NoonFood
ORD1002,CUST187,Ice Cream,Desserts,4,35.38,2025-06-07 06:29:34,54,3.9,Dubai,Jollibee,Zomato
ORD1003,CUST913,Donut,Bakery,3,39.95,2025-06-01 13:49:43,41,4.6,Sharjah,Burger Hut,Talabat
ORD1004,CUST224,Manchurian,Chinese,2,23.62,2025-01-05 05:30:59,48,4.7,Abu Dhabi,Jollibee,Talabat
ORD1005,CUST568,Spring Roll,Chinese,1,13.62,2025-05-11 14:12:43,42,4.5,Sharjah,Al Baik,NoonFood
ORD1006,CUST302,Chicken Nuggets,Fast Food,4,33.21,2025-05-31 00:53:34,37,3.7,Dubai,Biryani Express,NoonFood
ORD1007,CUST552,Fries,Fast Food,4,48.57,2025-03-09 20:25:22,37,4.0,Abu Dhabi,Al Baik,Deliveroo
ORD1008,CUST332,Croissant,Bakery,4,20.33,2025-06-02 15:13:35,48,3.2,Sharjah,Jollibee,Deliveroo
ORD1009,CUST858,Hakka Noodles,Chinese,3,37.63,2025-01-02 04:43:17,53,4.4,Dubai,Eat & Drink,Talabat
ORD1010,CUST395,Cheese Bread,Bakery,3,33.72,2025-01-06 18:09:19,26,2.5,Abu Dhabi,Biryani Express,Deliveroo
ORD1011,CUST384,Donut,Bakery,5,54.62,2025-05-07 01:38:42,30,4.8,Dubai,Biryani Express,Zomato
ORD1012,CUST955,Chocolate Cake,Desserts,2,48.49,2025-02-03 03:43:03,28,2.7,Abu Dhabi,Biryani Express,Deliveroo
ORD1013,CUST947,Cheese Bread,Bakery,2,36.61,2025-03-27 17:25:50,49,3.9,Sharjah,Al Baik,Zomato
ORD1014,CUST144,Chocolate Cake,Desserts,2,26.3,2025-05-15 01:03:05,52,3.9,Dubai,Biryani Express,Talabat
ORD1015,CUST772,Butter Naan,Indian,2,22.52,2025-06-30 06:38:18,25,4.3,Sharjah,Biryani Express,Deliveroo
ORD1016,CUST988,Zinger Burger,Fast Food,5,59.34,2025-03-28 22:58:13,44,3.9,Sharjah,Jollibee,NoonFood
ORD1017,CUST213,Cheese Bread,Bakery,1,26.89,2025-06-21 14:16:49,59,4.7,Dubai,Jollibee,Talabat
ORD1018,CUST687,Fries,Fast Food,3,44.14,2025-03-14 06:01:11,60,4.7,Sharjah,Eat & Drink,NoonFood
ORD1019,CUST558,Fries,Fast Food,1,15.25,2025-02-25 20:44:23,44,4.0,Sharjah,Burger Hut,NoonFood
ORD1020,CUST802,Chocolate Cake,Desserts,5,17.71,2025-04-13 21:53:09,29,4.7,Sharjah,Burger Hut,NoonFood
ORD1021,CUST832,Cheese Bread,Bakery,3,35.64,2025-01-02 02:48:24,48,3.9,Sharjah,Jollibee,Zomato
